"abstract","web_url","snippet","lead_paragraph","print_section","print_page","source","pub_date","document_type","news_desk","section_name","type_of_material","_id","word_count","uri","subsection_name","headline.main","headline.kicker","headline.content_kicker","headline.print_headline","headline.name","headline.seo","headline.sub","byline.original","byline.organization"
"The Trevor Project, the American Civil Liberties Union, Planned Parenthood and others have reported a spike in donations since the presidential election.","https://www.nytimes.com/2016/11/18/us/politics/nonprofit-donations-trump.html","The Trevor Project, the American Civil Liberties Union, Planned Parenthood and others have reported a spike in donations since the presidential election.","On Saturday, Steve Mendelsohn received an unexpected phone call.","A","15","The New York Times","2016-11-17T12:32:15+0000","article","National","U.S.","News","nyt://article/ea81ba6d-40cc-53b2-aa7e-980abde81748",681,"nyt://article/ea81ba6d-40cc-53b2-aa7e-980abde81748","Politics","Nonprofits Opposed to Trump’s Ideology See a Surge in Donations",NA,NA,"Nonprofits That Stand Against Trump’s Views  See a Surge of Support",NA,NA,NA,"By Niraj Chokshi",NA
"Policies that increase the value of the dollar would make it harder for U.S. manufacturers to compete overseas, one of many trade-offs that a president faces.","https://www.nytimes.com/2016/11/18/upshot/the-glaring-contradiction-at-the-heart-of-donald-trumps-economic-policy.html","Policies that increase the value of the dollar would make it harder for U.S. manufacturers to compete overseas, one of many trade-offs that a president faces.","Campaign promises are easy. Governing is hard.","A","18","The New York Times","2016-11-17T14:19:39+0000","article","National","The Upshot","News","nyt://article/3a51b43a-572e-59b6-8857-71a4bc26e77c",686,"nyt://article/3a51b43a-572e-59b6-8857-71a4bc26e77c",NA,"The Contradiction at the Heart of Donald Trump’s Economic Policy","Economic Trends",NA,"The Contradiction Lying at the Heart of Trump’s Goals",NA,NA,NA,"By Neil Irwin",NA
"Such a move could violate federal anti-nepotism law and risk legal challenges and political backlash.","https://www.nytimes.com/2016/11/18/us/politics/donald-trump-administration.html","Such a move could violate federal anti-nepotism law and risk legal challenges and political backlash.","WASHINGTON — Jared Kushner, the son-in-law of President-elect Donald J. Trump, has spoken to a lawyer about the possibility of joining the new administration, a move that could violate federal anti-nepotism law and risk legal challenges and political backlash.","A","1","The New York Times","2016-11-17T14:59:33+0000","article","National","U.S.","News","nyt://article/c4db5ff5-03f0-5698-a9a1-40472d40315b",1365,"nyt://article/c4db5ff5-03f0-5698-a9a1-40472d40315b","Politics","Donald Trump’s Son-in-Law, Jared Kushner, Tests Legal Path to White House Job",NA,NA,"Son-in-Law Tests Legal Path to Job in White House",NA,NA,NA,"By Julie Hirschfeld Davis and Maggie Haberman",NA
"The purpose of the chatbots was to rant, confuse people or muddy discussions on Twitter in the days before the election, an Oxford University report found.","https://www.nytimes.com/2016/11/18/technology/automated-pro-trump-bots-overwhelmed-pro-clinton-messages-researchers-say.html","The purpose of the chatbots was to rant, confuse people or muddy discussions on Twitter in the days before the election, an Oxford University report found.","SAN FRANCISCO — An automated army of pro-Donald J. Trump chatbots overwhelmed similar programs supporting Hillary Clinton five to one in the days leading up to the presidential election, according to a report published Thursday by researchers at Oxford University.","A","22","The New York Times","2016-11-17T15:00:15+0000","article","Business","Technology","News","nyt://article/a8a4f384-7c5d-5b43-95bc-2e7b6a0ade08",883,"nyt://article/a8a4f384-7c5d-5b43-95bc-2e7b6a0ade08",NA,"Automated Pro-Trump Bots Overwhelmed Pro-Clinton Messages, Researchers Say",NA,NA,"Trump Won Battle of Ranting, Raving Twitter Robots, Researchers Say",NA,NA,NA,"By John Markoff",NA
"The right public works projects can send a message of inclusion and pride. If Donald Trump is ready to take a cue from F.D.R., here are some places to start.","https://www.nytimes.com/2016/11/18/business/trumps-biggest-test-can-he-build-something-that-inspires-awe.html","The right public works projects can send a message of inclusion and pride. If Donald Trump is ready to take a cue from F.D.R., here are some places to start.","Here’s how President-elect Trump could unify a bitterly divided America, provide well-paying jobs to many of the millions of disaffected workers who voted for him, and lift the economy, stock market and tax rolls.","A","1","The New York Times","2016-11-17T15:00:30+0000","article","Business","Business Day","News","nyt://article/bf8af5d3-e89d-546f-a158-3a763d994930",1698,"nyt://article/bf8af5d3-e89d-546f-a158-3a763d994930",NA,"Trump-Size Idea for a New President: Build Something Inspiring","Common Sense",NA,"Trump-Size Idea for a New President: Build Stuff",NA,NA,NA,"By James B. Stewart",NA
"A prominent supporter cited World War II-era internment camps as a “precedent” for an immigrant registry suggested by a member of Mr. Trump’s transition team.","https://www.nytimes.com/2016/11/18/us/politics/japanese-internment-muslim-registry.html","A prominent supporter cited World War II-era internment camps as a “precedent” for an immigrant registry suggested by a member of Mr. Trump’s transition team.","A prominent supporter of Donald J. Trump drew concern and condemnation from advocates for Muslims’ rights on Wednesday after he cited World War II-era Japanese-American internment camps as a “precedent” for an immigrant registry suggested by a member of the president-elect’s transition team.","A","18","The New York Times","2016-11-17T15:45:12+0000","article","National","U.S.","News","nyt://article/d9594cf7-091e-542a-b396-116cd8f65f8f",935,"nyt://article/d9594cf7-091e-542a-b396-116cd8f65f8f","Politics","Trump Camp’s Talk of Registry and Japanese Internment Raises Muslims’ Fears",NA,NA,"Muslims Denounce Talk of Japanese Internment as ‘Precedent’ for Registry",NA,NA,NA,"By Jonah Engel Bromwich",NA
"Leaders in the country’s capital may be terrified, but on the Russian border people hope Donald J. Trump can lower tensions between Washington and Moscow.","https://www.nytimes.com/2016/11/18/world/europe/estonia-trump-baltics-putin.html","Leaders in the country’s capital may be terrified, but on the Russian border people hope Donald J. Trump can lower tensions between Washington and Moscow.","NARVA, Estonia — Barely a few hundred yards inside NATO’s jittery eastern border with Russia, a high school teacher asked students in his social studies class this week to address a topic of paramount importance for their future: the election of Donald J. Trump as the next president of the United States.","A","1","The New York Times","2016-11-17T16:10:27+0000","article","Foreign","World","News","nyt://article/8f6323c1-7f6d-51c5-83f1-fb68dde137d9",1700,"nyt://article/8f6323c1-7f6d-51c5-83f1-fb68dde137d9","Europe","In Estonia, Caution but Surprising Cheers for Trump’s Victory",NA,NA,"U.S. Vote Jolts Baltic Nations Wary of Russia",NA,NA,NA,"By Andrew Higgins",NA
"The industry group backpedals after a backlash from architects and says it will hold events across the country to promote dialogue.","https://www.nytimes.com/2016/11/18/arts/design/american-institute-of-architects-apologizes-for-statement-of-support-for-trump.html","The industry group backpedals after a backlash from architects and says it will hold events across the country to promote dialogue.","A week after the American Institute of Architects pledged to work with President-elect Donald J. Trump, the organization walked back its statement and apologized.","C","2","The New York Times","2016-11-17T19:05:34+0000","article","Culture","Arts","News","nyt://article/ab1d6d6a-e353-5199-b965-0875d76bf535",297,"nyt://article/ab1d6d6a-e353-5199-b965-0875d76bf535","Art & Design","American Institute of Architects Apologizes for Statement of Support for Trump",NA,NA,"Architects Apologize After Backlash on Trump",NA,NA,NA,"By Andrew R. Chow",NA
"Here’s what you need to know to start your day.","https://www.nytimes.com/2016/11/18/briefing/asia-briefing.html","Here’s what you need to know to start your day.","Good morning. ",NA,NA,"The New York Times","2016-11-17T20:48:48+0000","article","NYTNow","Briefing","briefing","nyt://article/17d68db0-af26-5655-bd49-c9e760cf97f0",1150,"nyt://article/17d68db0-af26-5655-bd49-c9e760cf97f0",NA,"Trump, Valeant, Yellen: Your Friday Briefing","Asia Pacific Edition",NA,"",NA,NA,NA,"By Charles McDermid",NA
"One reader says President Obama should not cooperate. Another likens the process to auditions for “The Apprentice.” A pro-Trump reader welcomes change.","https://www.nytimes.com/2016/11/18/opinion/the-transition-from-obama-to-trump.html","One reader says President Obama should not cooperate. Another likens the process to auditions for “The Apprentice.” A pro-Trump reader welcomes change.","To the Editor:","A","30","The New York Times","2016-11-17T20:50:08+0000","article","Letters","Opinion","Letter","nyt://article/034cb46a-86bd-504a-99c1-a492fbd52b9b",634,"nyt://article/034cb46a-86bd-504a-99c1-a492fbd52b9b",NA,"The Transition From Obama to Trump","Letters",NA,"The Transition From Obama to Trump",NA,NA,NA,"",NA
"Here’s what you need to know at the end of the day.","https://www.nytimes.com/2016/11/17/briefing/trump-obama-abe-merkel.html","Here’s what you need to know at the end of the day.","(Want to get this briefing by email? Here’s the sign-up.)",NA,NA,"The New York Times","2016-11-17T22:28:50+0000","article","NYTNow","Briefing","briefing","nyt://article/1bdf814c-a3f5-523f-a397-2bc94041206d",785,"nyt://article/1bdf814c-a3f5-523f-a397-2bc94041206d",NA,"Trump, Obama, Abe, Merkel: Your Thursday Evening Briefing",NA,NA,"Your Evening Briefing",NA,NA,NA,"By Karen Zraick and Sandra Stevenson",NA
"Within the professional political class, Mayor Bill de Blasio and Gov. Andrew M. Cuomo now seem to be elevating their longstanding rivalry to one for the role of progressive opponent in chief.","https://www.nytimes.com/2016/11/20/nyregion/anti-trump-andrew-cuomo-bill-de-blasio.html","Within the professional political class, Mayor Bill de Blasio and Gov. Andrew M. Cuomo now seem to be elevating their longstanding rivalry to one for the role of progressive opponent in chief.","In the days since an election that will substantially reduce the likelihood of your going to Midtown more than three times over the next four years, the pervasive mood in New York has been grief-stricken and despairing. The city has emerged, perhaps unpredictably, as the nation’s capital of discontentment (Los Angeles, San Francisco, we know that you are trying), the frontier of enmity to the potential hardships and catastrophes Donald J. Trump’s impending presidency might produce.","MB","1","The New York Times","2016-11-18T00:28:21+0000","article","Metropolitan","New York","News","nyt://article/1ec3b77c-4ca4-5aea-8c53-edaee13ff825",900,"nyt://article/1ec3b77c-4ca4-5aea-8c53-edaee13ff825",NA,"With Anti-Trump Advantage, Cuomo and de Blasio Vie to Be Opponent in Chief","Big City",NA,"Vying for Title  of Foe in Chief",NA,NA,NA,"By Ginia Bellafante",NA
"Speaker Paul D. Ryan said the House would go along with the request and pass a stopgap measure that would keep the government running at current spending levels until March.","https://www.nytimes.com/2016/11/18/us/politics/donald-trump-spending-bills.html","Speaker Paul D. Ryan said the House would go along with the request and pass a stopgap measure that would keep the government running at current spending levels until March.","WASHINGTON — President-elect Donald J. Trump is making his influence felt on government funding deliberations in Congress, pressing Republican leaders to postpone action on spending bills until after he takes office.",NA,NA,"The New York Times","2016-11-18T01:24:41+0000","article","National","U.S.","News","nyt://article/b46df344-ab06-506a-9f11-817de4e43005",897,"nyt://article/b46df344-ab06-506a-9f11-817de4e43005","Politics","Donald Trump Seeks to Delay Action on Spending Bills Until His Term Starts",NA,NA,"",NA,NA,NA,"By Emmarie Huetteman",NA
"The president-elect met with the prime minister of Japan, Shinzo Abe, and also held meetings with several experts and the Israeli ambassador.","https://www.nytimes.com/2016/11/18/us/politics/donald-trump-after-fits-and-starts-focuses-on-foreign-policy.html","The president-elect met with the prime minister of Japan, Shinzo Abe, and also held meetings with several experts and the Israeli ambassador.","WASHINGTON — President-elect Donald J. Trump embarked on one of the rituals of the American presidency on Thursday, meeting in New York with the prime minister of Japan, Shinzo Abe, as he continued his fitful adjustment to the protocols of high-level diplomacy.","A","19","The New York Times","2016-11-18T02:07:00+0000","article","National","U.S.","News","nyt://article/e1b40899-db34-5798-a990-da66d8d2bbf4",1200,"nyt://article/e1b40899-db34-5798-a990-da66d8d2bbf4","Politics","Donald Trump, After Fits and Starts, Focuses on Foreign Policy",NA,NA,"Trump, After a Fitful Beginning, Tackles Foreign Policy, if Not Protocol",NA,NA,NA,"By Mark Landler and Michael D. Shear",NA
"The deal to resettle refugees and asylum seekers held in detention camps in the Pacific might not happen now that Donald J. Trump is the president-elect.","https://www.nytimes.com/2016/11/18/world/australia/australia-us-refugee-deal.html","The deal to resettle refugees and asylum seekers held in detention camps in the Pacific might not happen now that Donald J. Trump is the president-elect.","CANBERRA, Australia — Barring some unexpected development, none of the refugees held in detention camps on the Pacific islands of Nauru and Manus are likely to be resettled in the United States before President-elect Donald J. Trump takes office, Australian and American officials said this week.","A","10","The New York Times","2016-11-18T03:42:10+0000","article","Foreign","World","News","nyt://article/5b1c1292-557a-52e7-91db-4f8497b7a071",836,"nyt://article/5b1c1292-557a-52e7-91db-4f8497b7a071","Australia","As Trump Nears Office, Australian Deal to Move Refugees to U.S. Is in Doubt",NA,NA,"Plan to Move Refugees to U.S. Is Now in Doubt",NA,NA,NA,"By Michelle Innis",NA
"The move could put a retired intelligence officer who believes Islamist militancy poses an existential threat in one of the most powerful roles in shaping military and foreign policy.","https://www.nytimes.com/2016/11/18/us/politics/michael-flynn-national-security-adviser-donald-trump.html","The move could put a retired intelligence officer who believes Islamist militancy poses an existential threat in one of the most powerful roles in shaping military and foreign policy.","WASHINGTON — President-elect Donald J. Trump has offered the post of national security adviser to Lt. Gen. Michael T. Flynn, potentially putting a retired intelligence officer who believes Islamist militancy poses an existential threat in one of the most powerful roles in shaping military and foreign policy, according to a top official on Mr. Trump’s transition team.","A","1","The New York Times","2016-11-18T03:48:38+0000","article","National","U.S.","News","nyt://article/69ac351e-e207-58a8-9321-b20b6d00ed7a",1403,"nyt://article/69ac351e-e207-58a8-9321-b20b6d00ed7a","Politics","Michael Flynn, Anti-Islamist Ex-General, Offered Security Post, Trump Aide Says",NA,NA,"Trump Is Said to Pick General as Security Aide",NA,NA,NA,"By Matthew Rosenberg and Maggie Haberman",NA
"Here’s what you need to know to start your day.","https://www.nytimes.com/2016/11/18/briefing/europe-briefing.html","Here’s what you need to know to start your day.","Good morning.",NA,NA,"The New York Times","2016-11-18T04:58:47+0000","article","NYTNow","Briefing","briefing","nyt://article/3e19ef13-6021-56f7-8d46-2fbda45dfa2e",1100,"nyt://article/3e19ef13-6021-56f7-8d46-2fbda45dfa2e",NA,"Trump, Michael Flynn, J.K. Rowling: Your Friday Briefing","Europe Edition",NA,"",NA,NA,NA,"By Jennifer Jett",NA
"Mr. Trump wrote on Twitter that he had helped keep a plant in Kentucky. Although Ford had planned to move some work to Mexico, it had intended to keep the factory open.","https://www.nytimes.com/2016/11/18/us/politics/donald-trump-takes-credit-for-helping-to-save-a-ford-plant-that-wasnt-closing.html","Mr. Trump wrote on Twitter that he had helped keep a plant in Kentucky. Although Ford had planned to move some work to Mexico, it had intended to keep the factory open.","WASHINGTON — President-elect Donald J. Trump claimed credit on Thursday night for persuading Ford to keep an automaking plant in Kentucky rather than moving it to Mexico. The only wrinkle: Ford was not actually planning to move the plant.",NA,NA,"The New York Times","2016-11-18T05:54:02+0000","article","National","U.S.","News","nyt://article/546bf37b-c158-5aa4-9667-85901971a604",316,"nyt://article/546bf37b-c158-5aa4-9667-85901971a604","Politics","Donald Trump Takes Credit for Helping to Save a Ford Plant That Wasn’t Closing",NA,NA,"",NA,NA,NA,"By Binyamin Appelbaum",NA
"The Berlusconi years in Italy provide a blueprint to thwart a Trump dynasty.","https://www.nytimes.com/2016/11/18/opinion/the-right-way-to-resist-trump.html","The Berlusconi years in Italy provide a blueprint to thwart a Trump dynasty.","Five years ago, I warned  about the risk of a Donald J. Trump presidency. Most people laughed. They thought it inconceivable.",NA,NA,"The New York Times","2016-11-18T08:21:04+0000","article","OpEd","Opinion","Op-Ed","nyt://article/fe6a45fa-f12e-5e5a-9cdf-08b1b99f9484",862,"nyt://article/fe6a45fa-f12e-5e5a-9cdf-08b1b99f9484",NA,"The Right Way to Resist Trump","Op-Ed Contributor",NA,"",NA,NA,NA,"By Luigi Zingales",NA
"By publishing fake news and disrupting standards of truth and civility, tech companies allowed Trump to spread his message.","https://www.nytimes.com/2016/11/18/opinion/silicon-valley-helped-create-trump-and-thats-bad-for-it.html","By publishing fake news and disrupting standards of truth and civility, tech companies allowed Trump to spread his message.","After the election of Donald J. Trump, technology companies like Facebook, Twitter and Google have been called to account for magnifying the anger and misinformation of the voters who helped propel him to the presidency.","A","31","The New York Times","2016-11-18T08:21:22+0000","article","OpEd","Opinion","Op-Ed","nyt://article/0a7c2b33-ec08-5bda-86dd-833578cf17a0",947,"nyt://article/0a7c2b33-ec08-5bda-86dd-833578cf17a0",NA,"Silicon Valley Helped Create Trump, and That’s Bad for It","Op-Ed Contributor",NA,"How Trump Disrupted Silicon Valley",NA,NA,NA,"By Noam Cohen",NA
"There aren’t three million unauthorized immigrant criminals to deport, and that is only the first flaw in his strategy.","https://www.nytimes.com/2016/11/18/opinion/donald-trumps-plan-to-purge-the-nation.html","There aren’t three million unauthorized immigrant criminals to deport, and that is only the first flaw in his strategy.","President-elect Donald Trump says he will move immediately to deport or imprison two million, maybe three million, unauthorized-immigrant criminals. “What we are going to do is get the people that are criminal and have criminal records, gang members, drug dealers,” he said on Sunday on “60 Minutes.”","A","30","The New York Times","2016-11-18T08:21:22+0000","article","Editorial","Opinion","Editorial","nyt://article/432415d1-08be-509d-b1d8-25c9c3ba34b5",682,"nyt://article/432415d1-08be-509d-b1d8-25c9c3ba34b5",NA,"Donald Trump’s Plan to Purge the Nation","What’s at Stake",NA," Mr. Trump’s Plan to Purge the Nation",NA,NA,NA,"By The Editorial Board","The Editorial Board"
"At a conference in Morocco, a Chinese vice minister pointed out that the administrations of Presidents Ronald Reagan and George Bush supported climate change negotiations.","https://www.nytimes.com/2016/11/19/world/asia/china-trump-climate-change.html","At a conference in Morocco, a Chinese vice minister pointed out that the administrations of Presidents Ronald Reagan and George Bush supported climate change negotiations.","Despite overwhelming scientific evidence that the world’s climate is changing, the president-elect of the United States, Donald J. Trump, has long been on the side of the deniers.","A","16","The New York Times","2016-11-18T09:04:40+0000","article","Foreign","World","News","nyt://article/c20f9f54-151e-50d0-9d1c-32f6468496ca",573,"nyt://article/c20f9f54-151e-50d0-9d1c-32f6468496ca","Asia Pacific","Trump Has Called Climate Change a Chinese Hoax. Beijing Says It Is Anything But.","Sinosphere",NA,"In Sign of Shifting Roles, China Gives U.S. a Lecture on Climate Change",NA,NA,NA,"By Edward Wong",NA
"Alain Juppé, a former unpopular prime minister who was once convicted of corruption, is now seen by supporters as a measured answer to the resurgent far right.","https://www.nytimes.com/2016/11/19/world/europe/france-alain-juppe-center-right.html","Alain Juppé, a former unpopular prime minister who was once convicted of corruption, is now seen by supporters as a measured answer to the resurgent far right.","PARIS — In the age of Donald J. Trump, “Brexit” and the resurgent French far right, a thin, aging career politician with an ironic smile is being called — by him and his supporters — France’s best defense against raging global populism.","A","4","The New York Times","2016-11-18T10:00:39+0000","article","Foreign","World","News","nyt://article/f1075d32-d64e-52c9-a748-65bc07917998",1217,"nyt://article/f1075d32-d64e-52c9-a748-65bc07917998","Europe","An Unlikely Contender Rises in France as the Antithesis of Trump",NA,NA,"An Unlikely Contender Rises  in France as Trump’s Opposite",NA,NA,NA,"By Adam Nossiter",NA
"The choices of Jeff Sessions as attorney general, Mike Pompeo as C.I.A. director and Michael T. Flynn as national security adviser display a decidedly conservative bent.","https://www.nytimes.com/2016/11/18/us/politics/donald-trump-transition.html","The choices of Jeff Sessions as attorney general, Mike Pompeo as C.I.A. director and Michael T. Flynn as national security adviser display a decidedly conservative bent."," President-elect Donald J. Trump is picking up the pace with his cabinet and top White House staff choices, and despite the fervent wishes of some Democrats that views expressed during the campaign would be moderated after the election, the new administration’s team is maintaining a decidedly conservative bent. Up next, secretary of defense?",NA,NA,"The New York Times","2016-11-18T10:00:41+0000","article","National","U.S.","News","nyt://article/9abb0ba7-0924-5fe1-b7f6-32004aa1d186",2070,"nyt://article/9abb0ba7-0924-5fe1-b7f6-32004aa1d186","Politics","Donald Trump’s Team Shows Few Signs of Post-Election Moderation","Transition Briefing",NA,"",NA,NA,NA,"By Eric Lipton, Charlie Savage and Michael S. Schmidt",NA
"Here’s what you need to know to start your day.","https://www.nytimes.com/2016/11/18/briefing/us-briefing-donald-trump-president-obama-jk-rowling.html","Here’s what you need to know to start your day."," (Want to get this briefing by email? Here’s the sign-up.)",NA,NA,"The New York Times","2016-11-18T10:45:28+0000","article","NYTNow","Briefing","briefing","nyt://article/e3d3f7e0-78ca-5cdd-aee4-d4fcfda4da21",1072,"nyt://article/e3d3f7e0-78ca-5cdd-aee4-d4fcfda4da21",NA,"Donald Trump, President Obama, J.K. Rowling: Your Friday Briefing",NA,NA,"",NA,NA,NA,"By Sean Alfano",NA
"Finding products branded with the Trump name is easy in China. Finding someone who can impersonate President-elect Donald J. Trump is not.","https://www.nytimes.com/2016/11/19/world/asia/china-trump-impersonator.html","Finding products branded with the Trump name is easy in China. Finding someone who can impersonate President-elect Donald J. Trump is not.","BEIJING — Zou Dangrong knows he will have to “orange up” his man, if he is to convince China that Tang Xinhua, a retired music professor, is Donald J. Trump, the president-elect of the United States.",NA,NA,"The New York Times","2016-11-18T11:21:05+0000","article","Foreign","World","News","nyt://article/bdcba2a0-4db5-55ca-bbd9-eef077fff8ab",921,"nyt://article/bdcba2a0-4db5-55ca-bbd9-eef077fff8ab","Asia Pacific","China’s Trump Prepares for His Close-up","Sinosphere",NA,"",NA,NA,NA,"By Didi Kirsten Tatlow",NA
"Donald J. Trump’s election presages huge potential change on America’s federal lands, pitting conservation against his promise to “unleash” fossil fuel production.","https://www.nytimes.com/2016/11/19/us/battle-lines-over-trumps-lands-policy-stretch-across-640-million-acres.html","Donald J. Trump’s election presages huge potential change on America’s federal lands, pitting conservation against his promise to “unleash” fossil fuel production.","DENVER — Uranium mines around the Grand Canyon. Oil drilling rigs studding the Arctic National Wildlife Refuge. New coal and timber leases in the national forests. States divvying up millions of acres of federal land to dispose of as they wish.","A","9","The New York Times","2016-11-18T12:06:48+0000","article","National","U.S.","News","nyt://article/38d1b998-382f-561f-81b9-be3ca14340bb",1330,"nyt://article/38d1b998-382f-561f-81b9-be3ca14340bb",NA,"Battle Lines Over Trump’s Lands Policy Stretch Across 640 Million Acres",NA,NA,"Trump’s Land Policy? Battle Lines Span 640 Million Acres",NA,NA,NA,"By Jack Healy and Kirk Johnson",NA
"Jens Stoltenberg, the alliance’s secretary general, agreed with Mr. Trump that Europe should pay more of the cost of defending itself.","https://www.nytimes.com/2016/11/19/world/europe/nato-trump-us-stoltenberg.html","Jens Stoltenberg, the alliance’s secretary general, agreed with Mr. Trump that Europe should pay more of the cost of defending itself.","LONDON — The secretary general of NATO expressed confidence on Friday that President-elect Donald J. Trump would not back away from America’s longstanding commitment to European security, even as the alliance’s chief acknowledged that the region needed to shoulder a greater financial burden for its own defense.","A","16","The New York Times","2016-11-18T13:31:37+0000","article","Foreign","World","News","nyt://article/1434c1ad-b15e-5639-95b8-3a5edfdb48f0",966,"nyt://article/1434c1ad-b15e-5639-95b8-3a5edfdb48f0","Europe","NATO Chief ‘Absolutely Confident’ Donald Trump Will Maintain U.S. Role",NA,NA,"NATO Chief Is ‘Absolutely Confident’ Trump Will Maintain Longstanding American Role",NA,NA,NA,"By Dan Bilefsky",NA
"Mr. Pompeo, a congressman from Kansas, gained prominence for his role in the House investigation into the 2012 attacks on the American diplomatic compound in Benghazi, Libya.","https://www.nytimes.com/2016/11/19/us/politics/donald-trump-mike-pompeo-cia.html","Mr. Pompeo, a congressman from Kansas, gained prominence for his role in the House investigation into the 2012 attacks on the American diplomatic compound in Benghazi, Libya.","WASHINGTON — Representative Mike Pompeo was once pointedly asked why his committee’s inquiry into the 2012 attacks on the American diplomatic compound in Benghazi, Libya, had dragged on longer than the Watergate investigation. He did not flinch.","A","1","The New York Times","2016-11-18T13:53:23+0000","article","National","U.S.","News","nyt://article/11ca9735-19ae-5c96-8e5e-21bdc8e003c9",1071,"nyt://article/11ca9735-19ae-5c96-8e5e-21bdc8e003c9","Politics","Mike Pompeo, Sharp Critic of Hillary Clinton, Is Trump’s Pick to Lead C.I.A.",NA,NA,"Sharp Clinton Critic Is Picked to Lead the C.I.A.",NA,NA,NA,"By Mark Mazzetti",NA
"Real estate executives are hopeful that Mr. Trump’s tax plans could help New York’s flagging luxury housing market.","https://www.nytimes.com/2016/11/20/realestate/what-will-a-trump-presidency-mean-for-new-york-real-estate.html","Real estate executives are hopeful that Mr. Trump’s tax plans could help New York’s flagging luxury housing market.","Two months ago, Pierre E. Debbas, a partner at the boutique law firm Romer Debbas, was representing a couple buying a Manhattan condominium who wanted the option to back out of the deal if Donald J. Trump won the election. After Mr. Debbas explained that no seller would agree to such a contingency, they signed the contract and took their chances.","RE","3","The New York Times","2016-11-18T14:00:04+0000","article","RealEstate","Real Estate","News","nyt://article/e763344c-57e7-5aa3-9be7-25fb45ef71cb",1350,"nyt://article/e763344c-57e7-5aa3-9be7-25fb45ef71cb",NA,"What Will a Trump Presidency Mean for New York Real Estate?","360 View",NA,"A New President, an Uncertain Market",NA,NA,NA,"By Ronda Kaysen",NA
"Rising share prices signify predictions of greater profits, but those profits could come at the expense of consumers if regulations are slashed.","https://www.nytimes.com/2016/11/20/upshot/stock-markets-post-election-reaction-overall-economy.html","Rising share prices signify predictions of greater profits, but those profits could come at the expense of consumers if regulations are slashed.","The early stock market reaction to Donald J. Trump’s election victory was overwhelmingly positive. But that doesn’t mean a Trump presidency will be good for the economy.","BU","6","The New York Times","2016-11-18T14:39:58+0000","article","SundayBusiness","The Upshot","News","nyt://article/67d92a71-ed35-5fd9-a88b-bcd52a6dd62b",1049,"nyt://article/67d92a71-ed35-5fd9-a88b-bcd52a6dd62b",NA,"Why Surging Stocks May Not Mean the Economy Trusts Trump","Economic View",NA,"You Can’t See the Future in a Stock Surge",NA,NA,NA,"By Sendhil Mullainathan",NA
"A gay actor in California and his father in Kentucky talk at length about how they feel about each other’s votes.","https://www.nytimes.com/2016/11/18/podcasts/i-voted-clinton-you-voted-trump-lets-talk.html","A gay actor in California and his father in Kentucky talk at length about how they feel about each other’s votes.","“O.K., Craig,” the father asks, “you ready?”",NA,NA,"The New York Times","2016-11-18T15:51:00+0000","article","Podcasts","Podcasts","News","nyt://article/0ac8a693-cbb9-58ca-b92f-ec2c696e9bbf",1766,"nyt://article/0ac8a693-cbb9-58ca-b92f-ec2c696e9bbf",NA,"I Voted Clinton. You Voted Trump. Let’s Talk.","The Run-Up",NA,"",NA,NA,NA,"By Michael Barbaro",NA
"During the campaign, followers drawn to his rallies occasionally displayed the flag. Since the election, his supporters and others have displayed it as a kind of rejoinder to anti-Trump protesters.","https://www.nytimes.com/2016/11/19/us/confederate-flag-trump.html","During the campaign, followers drawn to his rallies occasionally displayed the flag. Since the election, his supporters and others have displayed it as a kind of rejoinder to anti-Trump protesters.","For a brief moment, after a white supremacist carried out a massacre of black churchgoers in Charleston, S.C., it seemed as though the Confederate battle flag, that most divisive of symbols, might soon be on its way out of the American political arena.","A","10","The New York Times","2016-11-18T16:08:57+0000","article","National","U.S.","News","nyt://article/d3f11da2-405a-5045-b873-c1d51adffc92",1527,"nyt://article/d3f11da2-405a-5045-b873-c1d51adffc92",NA,"As Trump Rises, So Do Some Hands Waving Confederate Battle Flags",NA,NA,"As Trump Rises, So Do Some Hands Waving Confederate Battle Flags",NA,NA,NA,"By Richard Fausset",NA
"The president-elect on Friday tapped loyalists who reflect the hard-line views of his campaign, though he is also expected to meet with critics such as Mitt Romney.","https://www.nytimes.com/2016/11/19/us/politics/donald-trump-administration.html","The president-elect on Friday tapped loyalists who reflect the hard-line views of his campaign, though he is also expected to meet with critics such as Mitt Romney.","WASHINGTON — President-elect Donald J. Trump moved quickly on Friday to begin filling national security posts at the top echelons of his administration, selecting a group of hawks and campaign loyalists who reflect the hard-line views that defined his run for president.","A","1","The New York Times","2016-11-18T17:08:11+0000","article","National","U.S.","News","nyt://article/49ea6c36-ef82-5f7e-b128-2d695650f627",1299,"nyt://article/49ea6c36-ef82-5f7e-b128-2d695650f627","Politics","Trump Turns to His Right Flank to Fill National Security Posts",NA,NA,"Trump Selects Loyalists on Right Flank to Fill National Security Posts",NA,NA,NA,"By Julie Hirschfeld Davis",NA
